brand_name,company_name,score
2XU,2XU,2
Abercrombie & Fitch,Abercrombie & Fitch,31
Gilly Hicks,Abercrombie & Fitch,31
Hollister Co.,Abercrombie & Fitch,31
Article One,Accent Group,12
Beyond Her,Accent Group,12
Exie,Accent Group,12
First Mse,Accent Group,12
Henleys,Accent Group,12
ITNO,Accent Group,12
Lulu & Rose,Accent Group,12
Nude Lucy,Accent Group,12
Stylerunner The Label,Accent Group,12
Adidas,Adidas,63
Adidas,Adidas (Footwear),55
Aje,Aje,26
ALDI Stores,ALDI Stores,32
Allbirds,Allbirds,40
Ally Fashion,Ally Fashion,3
AM Supply,Ally Fashion,3
You + All,Ally Fashion,3
Amazon,Amazon,13
Jag,APG & Co,49
SABA,APG & Co,49
Sportscraft,APG & Co,49
AS COLOUR,AS COLOUR,65
ASICS,ASICS,30
Onitsuka Tiger,ASICS,30
ASOS,ASOS,34
Bec & Bridge,Bec & Bridge,1
Best & Less,Best & Less,20
Big W,Big W,31
Birkenstock,Birkenstock,15
Bisley,Bisley,17
Blue Illusion,Blue Illusion,6
Blundstone,Blundstone,20
John Bull,Blundstone,20
Billabong,Boardriders,5
DC Shoes,Boardriders,5
Element,Boardriders,5
Quiksilver,Boardriders,5
Roxy,Boardriders,5
RVCA,Boardriders,5
Von Zipper,Boardriders,5
Boden,Boden,32
Boohoo,Boohoo,26
Burton,Boohoo,26
Debenhams,Boohoo,26
Dorothy Perkins,Boohoo,26
Karen Millen,Boohoo,26
PrettyLittleThing,Boohoo,26
Elka Collective,Brand Collective (Apparel),7
ELWD,Brand Collective (Apparel),7
Elwood,Brand Collective (Apparel),7
Mossimo,Brand Collective (Apparel),7
Shoes & Sox,Brand Collective (Apparel),7
Clarks,Brand Collective (Footwear),20
Grosby,Brand Collective (Footwear),20
Hush Puppies,Brand Collective (Footwear),20
Julius Marlow,Brand Collective (Footwear),20
Volley,Brand Collective (Footwear),20
Commonry,Brandbank,31
Fine Day,Brandbank,31
Seed Heritage,Brandbank,31
Unison,Brandbank,31
Carhartt-WIP,Carhartt-WIP,13
City Beach,City Beach,3
City Chic,City Chic Collective,40
Ceres Life,Cotton On Group,45
Cotton On,Cotton On Group,45
Cotton On Body,Cotton On Group,45
Cotton On Kids,Cotton On Group,45
Factorie,Cotton On Group,45
Rubi,Cotton On Group,45
Supre,Cotton On Group,45
Trenery,Country Road Group,50
Country Road,Country Road Group,50
MIMCO,Country Road Group,50
Politix,Country Road Group,50
Witchery,Country Road Group,50
Crocs,Crocs,23
Cue Clothing Co.,Cue Clothing Co.,17
Veronika Maine,Cue Clothing Co.,17
Culture Kings,Culture Kings,9
Pyra,Culture Kings,9
Alta Linea,David Jones,41
Saffron & Clover,David Jones,41
David Jones,David Jones,41
Milana,David Jones,41
Quechua,Decathlon,33
Artengo,Decathlon,33
Decathlon,Decathlon,33
Forclaz,Decathlon,33
Kipsta,Decathlon,33
Nabaiji,Decathlon,33
Rockrider,Decathlon,33
Decjuba,Decjuba,21
Ahnu,Decker Brands,41
Hoka,Decker Brands,41
Koolaburra,Decker Brands,41
Sanuk,Decker Brands,41
leva,Decker Brands,41
Ugg,Decker Brands,41
Dr Martens,Dr Martens,37
Forever 21,F21 OpCo LLC,2
Dangerfield,Factory X,49
Gorman,Factory X,49
Princess Highway,Factory X,49
Fila,Fila,16
Forever New,Forever New,60
Fruit of the Loom,Fruit of the Loom,30
Russell Athletic,Fruit of the Loom,30
Vanity Fair,Fruit of the Loom,30
Athleta,Gap INC,45
Banana Republic,Gap INC,45
Gap,Gap INC,45
Old Navy,Gap INC,45
Alice in the Eve,General Pants Group,3
Arvust,General Pants Group,3
Black Noise White Rain,General Pants Group,3
General Pants Co.,General Pants Group,3
Insight,General Pants Group,3
Ksubl,General Pants Group,3
Neon Hart,General Pants Group,3
Standard,General Pants Group,3
Subtitled,General Pants Group,3
Ghanda,Ghanda,0
American Apparel,Gildan Activewear,50
Comfort Colors,Gildan Activewear,50
Gildan,Gildan Activewear,50
Gold Toe,Gildan Activewear,50
Peds,Gildan Activewear,50
FXD,Globe International Limited,16
Globe,Globe International Limited,16
It's Now Cool,Globe International Limited,16
Salty Crew,Globe International Limited,16
Gymshark,Gymshark,39
& Other Stories,H&M,57
Arket,H&M,57
COS,H&M,57
H&M,H&M,57
Monki,H&M,57
Weekday,H&M,57
Glassons,Hallenstein Glasson Holdings,49
Hallenstein Brothers,Hallenstein Glasson Holdings,49
Alternative Apparel,HanesBrands,64
Bali,HanesBrands,64
Berlei,HanesBrands,64
Bonds,HanesBrands,64
Bras N Things,HanesBrands,64
Champion,HanesBrands,64
Champion Teamwear,HanesBrands,64
Explorer,HanesBrands,64
Gear for Sports,HanesBrands,64
Hanes,HanesBrands,64
Hestia,HanesBrands,64
Holeproof,HanesBrands,63
JMS,HanesBrands,64
Jockey (Australia and NZ),HanesBrands,64
Kayser,HanesBrands,64
Maidenform,HanesBrands,64
Platinum,HanesBrands,64
Playtex,HanesBrands,64
Razzamatazz,HanesBrands,64
Rio,HanesBrands,64
Sheer Relief,HanesBrands,64
Sheridan,HanesBrands,64
Voodoo,HanesBrands,64
Wonderbra,HanesBrands,64
P.E. Nation,Hot Springs,21
Rebecca Vallance,Hot Springs,21
Boss,Hugo Boss Group,40
Hugo,Hugo Boss Group,40
Hugo Boss,Hugo Boss Group,40
Bershka,Inditex,66
Massimo Dutti,Inditex,66
Oysho,Inditex,66
Pull&Bear,Inditex,66
Stradivarius,Inditex,66
Zara,Inditex,66
Zara Home,Inditex,66
Indie kids,Industrie,6
Industrie,Industrie,6
Roler,Industrie,6
JD Sports,JD Sports,54
Sonneti,JD Sports,54
Jeanswest,Jeanswest,9
Dotti,Just Group,36
Jacqui E,Just Group,36
Jay Jays,Just Group,36
Just Jeans,Just Group,36
Peter Alexander,Just Group,36
Portmans,Just Group,36
Anko,Kmart and Target Australia,58
Kmart,Kmart and Target Australia,58
Target,Kmart and Target Australia,58
Kathmandu,KMD Brands,60
Oboz,KMD Brands,60
Rip Curl,KMD Brands,60
Lee,Kontoor Brands,30
Rock & Republic,Kontoor Brands,30
Wrangler,Kontoor Brands,30
Kookai,Kookai,15
Lacoste,Lacoste,43
Beyond Yoga,Levi Strauss and Co,56
Dockers,Levi Strauss and Co,56
Levi's,Levi Strauss and Co,56
Lorna Jane,Lorna Jane,40
Beare & Ley,Lowes,12
Cougars,Lowes,12
Huntley & Sons,Lowes,12
Lowes,Lowes,12
Robert Huntley,Lowes,12
Traders Workwear,Lowes,12
Lululemon Athletica,Lululemon Athletica,58
Macpac,Macpac,52
Marks & Spencer,Marks & Spencer,48
Mighty Good Basics,Mighty Good Basics,90
Autograph,Mosaic Group,36
Beme,Mosaic Group,36
Crossroads,Mosaic Group,36
Katies,Mosaic Group,36
Liz Jordan,Mosaic Group,36
Millers,Mosaic Group,36
Noni B,Mosaic Group,36
Rivers,Mosaic Group,36
Rockmans,Mosaic Group,36
Table Eight,Mosaic Group,36
W. Lane,Mosaic Group,36
Bobux,Munro Footwear Group,37
Colorado,Munro Footwear Group,37
Diana Ferrari,Munro Footwear Group,37
Django & Juliette,Munro Footwear Group,37
Gamins,Munro Footwear Group,37
I Love Billy,Munro Footwear Group,37
Mathers,Munro Footwear Group,37
Midas,Munro Footwear Group,37
Mollini,Munro Footwear Group,37
Mountfords,Munro Footwear Group,37
Rockport,Munro Footwear Group,37
Silent D,Munro Footwear Group,37
Styletread,Munro Footwear Group,37
Supersoft by Diana Ferrari,Munro Footwear Group,37
The Trybe,Munro Footwear Group,37
Top End,Munro Footwear Group,37
Williams,Munro Footwear Group,37
Ziera,Munro Footwear Group,37
Basque,Myer,19
Blaq,Myer,19
Miss Shop,Myer,19
Myer,Myer,19
Soho,Myer,19
New Balance,New Balance,60
New Balance,New Balance (Footwear),57
JoJo Maman Bébé,Next,46
Lipsy,Next,46
Next,Next,46
Reiss,Next,46
Hannahs,Ngahuia Group,0
Number One Shoes,Ngahuia Group,0
Converse,Nike,51
Jordan,Nike,51
Nike,Nike,51
Nine West,Nine West,0
Novo Shoes,Novo Shoes Pty Ltd,8
Nudie Jeans Co,Nudie Jeans Co,53
On,On Holding,31
Oroton,Oroton Group,36
Deuce,Overland,15
Merchant 1948,Overland,15
Mi Piaci,Overland,15
Patagonia,Patagonia,69
lemu,PDD Holdings,0
Berghaus,Pentland Brands,32
Canterbury of New Zealand,Pentland Brands,32
ellesse,Pentland Brands,32
Endura,Pentland Brands,32
kangaroos,Pentland Brands,32
Mitre,Pentland Brands,32
SeaVees,Pentland Brands,32
Speedo,Pentland Brands,32
Princess Polly,Princess Polly,54
PUMA,PUMA,61
Calvin Klein,PVH Corp,43
Tommy Hilfiger,PVH Corp,43
R.M. Williams,R.M. Williams,49
Ralph Lauren,Ralph Lauren,42
Ell & Voo,Rebel Sport,17
Connor,Retail Apparel Group,55
Johnny Bigg,Retail Apparel Group,55
Rockwear,Retail Apparel Group,55
Tarocash,Retail Apparel Group,55
yd.,Retail Apparel Group,55
Rodd & Gunn,Rodd & Gunn,68
Milea,Seafolly,6
Seafolly,Seafolly,6
Sheike,Sheike,11
SHEIN,SHEIN,20
Showpo,Showpo,21
Skechers,Skechers,22
SKIMS,SKIMS,31
Anaconda,Spotlight Group,6
Harris Scarfe,Spotlight Group,6
Mountain Designs,Spotlight Group,6
Spotlight,Spotlight Group,6
Stüssy,Stussy,0
Sportsgirl,Sussan Group,39
Sussan,Sussan Group,39
Suzanne Grae,Sussan Group,39
Aere,The Iconic,33
Atmos&Here,The Iconic,33
Dazie,The Iconic,33
Double Oak Mills,The Iconic,33
Endless,The Iconic,33
Spurr,The Iconic,33
Staple Superior,The Iconic,33
The Iconic,The Iconic,33
TK Maxx,TJX Australia,8
TOMS,Toms,16
Under Armour,Under Armour,28
UNIQLO,UNIQLO,50
Common Need,Universal Store Holdings Ltd,37
L&T,Universal Store Holdings Ltd,37
Luck & Trouble,Universal Store Holdings Ltd,37
Neovision,Universal Store Holdings Ltd,37
Pertect Stranger,Universal Store Holdings Ltd,37
Token,Universal Store Holdings Ltd,37
Taking Shape,Vestito (TS14+),7
Altra,VF Corp,55
Dickies,VF Corp,55
icebreaker,VF Corp,55
Jansport,VF Corp,55
Napapiriji,VF Corp,55
Smartwool,VF Corp,55
Supreme,VF Corp,55
The North Face,VF Corp,55
Timberland,VF Corp,55
VANS,VF Corp,55
PINK,Victoria's Secret & Co,44
Victoria's Secret,Victoria's Secret & Co,44
Bogs,Weyco Group,15
Florsheim,Weyco Group,15
Forsake,Weyco Group,15
Nunn Bush,Weyco Group,15
Rafters,Weyco Group,15
Stacy Adams,Weyco Group,15
Windsor Smith,Windsor Smith,0
Wittner,Wittner,10
Active Flex,WM Ritchie,2
Alan Pinkus,WM Ritchie,2
Easy Steps,WM Ritchie,2
Jane Debster,WM Ritchie,2
Nina,WM Ritchie,2
Pink Inc,WM Ritchie,2
Ravella,WM Ritchie,2
Sandler,WM Ritchie,2
Wide Steps,WM Ritchie,2
Bates,Wolverine Worldwide,16
Cat Footwear,Wolverine Worldwide,16
Chaco,Wolverine Worldwide,16
Harley-Davidson Footwear,Wolverine Worldwide,16
HyTest,Wolverine Worldwide,16
Keds,Wolverine Worldwide,16
Merrell,Wolverine Worldwide,16
Saucony,Wolverine Worldwide,16
Stride Rite Children's Group,Wolverine Worldwide,16
Sweaty Betty,Wolverine Worldwide,16
Wolverine,Wolverine Worldwide,16
Hard Yakka,Workwear Group,49
KingGee,Workwear Group,49
NNT Uniforms,Workwear Group,49
Zimmermann,Zimmermann,51
